City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
302,Kyabe,TD,9.4515,18.9449,23.66,91,100,1.81,light rain
303,Labrea,BR,-7.2586,-64.7981,29.55,58,100,2.91,overcast clouds
304,Braunau,CZ,50.5857,16.3318,11.75,87,50,2.74,scattered clouds
305,Vigrestad,NO,58.5667,5.7,11.99,83,6,6.65,light rain
306,Trelew,AR,-43.249,-65.3051,13.59,33,100,7.62,overcast clouds
307,Kontagora,NG,10.3999,5.4695,23.78,86,73,1.5,broken clouds
308,Iberia,US,29.9502,-91.7507,29.0,26,0,4.63,clear sky
309,Llandrindod Wells,GB,52.2416,-3.3787,10.21,89,52,0.96,broken clouds
310,Artyom,AZ,40.4723,50.333,22.08,66,9,7.61,clear sky
311,Dudinka,RU,69.4058,86.1778,-1.32,82,100,6.87,overcast clouds
312,Dubno,UA,50.4169,25.7343,10.5,87,96,7.02,overcast clouds
313,Kluczbork,PL,50.9728,18.2182,9.85,91,44,5.67,scattered clouds
314,Adrar,MR,20.5022,-10.0711,33.49,26,100,4.18,overcast clouds
315,Ngaoundere,CM,7.3167,13.5833,18.09,93,96,0.57,light rain
316,Gambo,CF,4.6482,22.2633,20.61,99,100,1.07,overcast clouds
317,Guaruja,BR,-23.9931,-46.2564,22.16,36,100,1.03,overcast clouds
318,Amos,CA,48.5669,-78.1162,11.77,39,53,1.08,broken clouds
319,Aksarka,RU,66.5606,67.7975,2.03,87,100,5.45,overcast clouds
320,Hambantota,LK,6.1241,81.1185,26.63,76,90,9.84,overcast clouds
321,Isiro,CD,2.7739,27.616,18.23,99,100,1.24,light rain
322,Penzance,GB,50.1186,-5.5371,10.38,74,73,3.4,broken clouds
323,Luanda,AO,-8.8368,13.2343,24.0,83,40,3.6,scattered clouds
324,Koygorodok,RU,60.445,50.9968,11.53,96,100,3.69,overcast clouds
325,Mehriz,IR,31.5917,54.4318,19.28,32,0,0.74,clear sky
326,Bengkulu,ID,-3.8004,102.2655,23.89,91,100,2.22,overcast clouds
327,Jumla,NP,29.2747,82.1838,11.24,85,0,1.82,clear sky
328,Lahij,YE,13.1667,44.5833,30.94,42,97,3.04,overcast clouds
329,Kisangani,CD,0.5167,25.2,21.5,99,100,1.21,overcast clouds
330,Alferrarede,PT,39.4833,-8.1667,21.12,27,2,2.25,clear sky
331,Paonta Sahib,IN,30.45,77.6167,23.36,61,0,2.4,clear sky
332,Carbondale,US,37.7273,-89.2168,26.14,34,0,4.12,clear sky
333,Thaba-Tseka,LS,-29.522,28.6084,15.33,16,0,2.48,clear sky
334,Akhtubinsk,RU,48.2795,46.1722,18.98,49,100,9.07,overcast clouds
335,Hattiesburg,US,31.3271,-89.2903,29.27,33,0,4.63,clear sky
336,Rundu,NA,-17.9333,19.7667,22.42,19,0,2.16,clear sky
337,Owando,CG,-0.4819,15.8999,20.94,99,77,1.22,broken clouds
338,Trincomalee,LK,8.5711,81.2335,26.9,78,100,9.54,overcast clouds
339,Tramore,IE,52.1624,-7.1524,15.05,74,100,1.79,overcast clouds
340,Salinopolis,BR,-0.6136,-47.3561,27.24,77,71,5.49,broken clouds
341,Sechura,PE,-5.5569,-80.8222,22.28,64,54,6.04,broken clouds
342,Grantham,GB,52.9115,-0.6418,12.05,76,7,3.6,clear sky
