City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
276,Bahia Blanca,AR,2022-10-02 00:49:39,-38.7196,-62.2724,286.05,63,6,3.89
277,Londiani,KE,2022-10-02 00:53:21,-0.165,35.5909,284.56,88,55,1.35
278,Tartagal,AR,2022-10-02 00:53:21,-22.5164,-63.8013,294.13,47,19,1.42
279,Aksarka,RU,2022-10-02 00:53:22,66.5606,67.7975,273.08,93,100,6.46
280,Puerto Del Rosario,ES,2022-10-02 00:53:22,28.5004,-13.8627,295.01,88,40,8.75
281,Bilma,NE,2022-10-02 00:53:23,18.6853,12.9164,305.24,22,5,4.44
282,Camana,PE,2022-10-02 00:53:23,-16.6228,-72.7111,290.06,77,48,3.6
283,Muzaffarabad,PK,2022-10-02 00:53:23,34.37,73.4711,290.79,74,1,2.71
284,Dubovskoye,RU,2022-10-02 00:53:24,47.4092,42.7575,291.64,59,100,3.27
285,Olafsvik,IS,2022-10-02 00:53:24,64.8945,-23.7142,281.36,87,100,2.55
286,Kalmunai,LK,2022-10-02 00:53:24,7.4167,81.8167,299.61,69,100,2.07
287,Abalak,RU,2022-10-02 00:53:25,58.1286,68.5944,269.08,81,11,2.77
288,Rio Gallegos,AR,2022-10-02 00:50:46,-51.6226,-69.2181,278.18,52,0,4.63
289,Mahon,ES,2022-10-02 00:53:25,39.8885,4.2658,290.46,82,0,2.06
290,Kanakapura,IN,2022-10-02 00:49:20,12.55,77.4167,293.54,93,100,1.75
291,Moose Factory,CA,2022-10-02 00:53:26,51.2585,-80.6094,275.15,80,0,1.54
